Pasangan,Frekuensi_Aktual,Frekuensi_Harapan
Alice & Bob,42,42.857142857142854
Alice & Charlie,45,42.857142857142854
Alice & David,43,42.857142857142854
Alice & Eve,39,42.857142857142854
Alice & Frank,41,42.857142857142854
Alice & Grace,41,42.857142857142854
Alice & Heidi,49,42.857142857142854
Bob & Charlie,41,42.857142857142854
Bob & David,41,42.857142857142854
Bob & Eve,53,42.857142857142854
Bob & Frank,39,42.857142857142854
Bob & Grace,31,42.857142857142854
Bob & Heidi,53,42.857142857142854
Charlie & David,48,42.857142857142854
Charlie & Eve,34,42.857142857142854
Charlie & Frank,48,42.857142857142854
Charlie & Grace,48,42.857142857142854
Charlie & Heidi,36,42.857142857142854
David & Eve,44,42.857142857142854
David & Frank,40,42.857142857142854
David & Grace,50,42.857142857142854
David & Heidi,34,42.857142857142854
Eve & Frank,44,42.857142857142854
Eve & Grace,40,42.857142857142854
Eve & Heidi,46,42.857142857142854
Frank & Grace,48,42.857142857142854
Frank & Heidi,40,42.857142857142854
Grace & Heidi,42,42.857142857142854
